Outcome,n,Cost median,Cost SD,Cost p90,Cost max,Time median,Time SD,Time p90,Time max
FULL_REPRO,109,0.194421,0.186701,0.484824,0.764974,16.816667,85.718427,97.216667,499.916667
LASTMILE_REPRO,106,0.302041,0.177896,0.505148,0.750534,20.325000,18.422447,48.500000,108.350000
COPY_REPRO,82,0.203377,0.204128,0.451032,0.835768,17.468560,55.299352,49.264248,481.041015
MISMATCH_ERROR,240,0.101809,0.230470,0.517739,1.049498,12.973517,32.498764,51.358394,258.843166
RUNTIME_ERROR,109,0.099047,0.225793,0.447112,1.085123,11.016667,66.114492,59.280000,487.650000
STATIC_ERROR,254,0.031969,0.137460,0.268889,0.758830,9.511841,83.259257,42.607576,485.950717
